update_id,investor_id,status,updated_at,source
1,1,Pending,2024-08-02 06:00:00,signup
2,1,Pending,2024-09-08 08:00:00,kyc_review
3,1,Accredited,2024-12-06 14:00:00,kyc_review
4,1,Accredited,2025-01-07 08:00:00,manual
5,1,Accredited,2025-01-07 08:00:00,kyc_review
6,1,Pending,2025-04-07 10:00:00,manual
7,1,Pending,2025-07-28 02:00:00,manual
8,2,Pending,2022-04-03 05:00:00,signup
9,2,Accredited,2022-07-06 18:00:00,auto
10,3,Pending,2024-04-24 05:00:00,signup
11,3,Suspended,2024-10-01 17:00:00,kyc_review
12,4,Pending,2022-04-22 05:00:00,signup
13,4,Pending,2022-05-23 01:00:00,auto
14,4,Non-Accredited,2022-07-27 22:00:00,kyc_review
15,4,Accredited,2022-12-13 14:00:00,auto
16,4,Accredited,2023-03-21 04:00:00,manual
17,5,Pending,2024-08-23 14:00:00,signup
18,5,Pending,2025-03-04 11:00:00,kyc_review
19,6,Pending,2021-11-23 20:00:00,signup
20,6,Accredited,2022-01-12 14:00:00,kyc_review
21,7,Pending,2021-07-09 10:00:00,signup
22,7,Pending,2021-08-11 01:00:00,manual
23,7,Pending,2021-11-04 06:00:00,auto
24,7,Pending,2021-12-06 08:00:00,manual
25,7,Accredited,2022-04-16 16:00:00,kyc_review
26,7,Accredited,2022-09-19 07:00:00,manual
27,8,Pending,2021-03-30 20:00:00,signup
28,8,Accredited,2021-07-31 07:00:00,manual
29,8,Accredited,2022-01-31 20:00:00,auto
30,8,Accredited,2022-01-31 20:00:00,manual
31,9,Pending,2024-07-11 02:00:00,signup
32,9,Pending,2025-01-16 19:00:00,kyc_review
33,9,Pending,2025-03-08 13:00:00,kyc_review
34,10,Pending,2021-05-23 15:00:00,signup
35,10,Accredited,2021-08-31 05:00:00,manual
36,11,Pending,2021-07-26 06:00:00,signup
37,11,Pending,2021-11-14 19:00:00,manual
38,11,Pending,2021-11-14 19:00:00,signup
39,12,Pending,2023-01-29 11:00:00,signup
40,12,Accredited,2023-06-12 17:00:00,manual
41,12,Accredited,2023-11-08 21:00:00,kyc_review
42,12,Pending,2023-11-27 16:00:00,manual
43,12,Pending,2024-04-06 22:00:00,kyc_review
44,12,Pending,2024-10-09 11:00:00,auto
45,13,Pending,2024-07-24 05:00:00,signup
46,13,Pending,2024-10-12 17:00:00,auto
47,14,Pending,2022-07-07 14:00:00,signup
48,14,Accredited,2022-09-10 11:00:00,kyc_review
49,14,Accredited,2023-01-07 21:00:00,kyc_review
50,14,Non-Accredited,2023-05-05 12:00:00,kyc_review
51,14,Accredited,2023-09-03 23:00:00,kyc_review
52,14,Accredited,2024-02-13 05:00:00,auto
53,15,Pending,2022-10-27 05:00:00,signup
