fund_id,as_of_month,nav_per_unit
1,2021-09-01,104.51
1,2021-10-01,109.25
1,2021-11-01,110.13
1,2021-12-01,112.63
1,2022-01-01,115.55
1,2022-02-01,113.01
1,2022-03-01,113.1
1,2022-04-01,115.2
1,2022-05-01,118.31
1,2022-06-01,122.99
1,2022-07-01,127.92
1,2022-08-01,132.11
1,2022-09-01,135.72
1,2022-10-01,131.99
1,2022-11-01,133.29
1,2022-12-01,130.22
1,2023-01-01,134.98
1,2023-02-01,141.69
1,2023-03-01,148.63
1,2023-04-01,149.72
1,2023-05-01,155.97
1,2023-06-01,163.21
1,2023-07-01,164.61
1,2023-08-01,166.79
1,2023-09-01,165.03
1,2023-10-01,162.33
1,2023-11-01,169.72
1,2023-12-01,174.13
1,2024-01-01,170.38
1,2024-02-01,178.81
1,2024-03-01,173.86
1,2024-04-01,181.57
1,2024-05-01,180.87
1,2024-06-01,180.99
1,2024-07-01,179.62
1,2024-08-01,184.57
1,2024-09-01,188.87
1,2024-10-01,197.58
1,2024-11-01,202.25
1,2024-12-01,206.95
1,2025-01-01,216.02
1,2025-02-01,220.49
1,2025-03-01,222.55
1,2025-04-01,230.04
1,2025-05-01,229.26
1,2025-06-01,226.49
2,2022-08-01,101.61
2,2022-09-01,106.07
2,2022-10-01,103.44
2,2022-11-01,103.18
2,2022-12-01,107.6
2,2023-01-01,110.77
2,2023-02-01,113.87
2,2023-03-01,116.41
2,2023-04-01,120.23
2,2023-05-01,125.92
2,2023-06-01,126.54
2,2023-07-01,125.11
2,2023-08-01,123.95
2,2023-09-01,123.12
2,2023-10-01,120.52
2,2023-11-01,120.18
2,2023-12-01,122.27
2,2024-01-01,120.44
2,2024-02-01,125.9
2,2024-03-01,127.89
2,2024-04-01,125.36
2,2024-05-01,124.74
2,2024-06-01,124.79
2,2024-07-01,128.4
2,2024-08-01,127.74
2,2024-09-01,129.94
2,2024-10-01,128.02
2,2024-11-01,128.15
2,2024-12-01,128.65
2,2025-01-01,132.73
2,2025-02-01,137.22
2,2025-03-01,143.36
2,2025-04-01,140.51
2,2025-05-01,143.76
2,2025-06-01,146.24
3,2024-01-01,101.59
3,2024-02-01,105.18
3,2024-03-01,103.87
3,2024-04-01,101.98
3,2024-05-01,105.02
3,2024-07-01,108.34
3,2024-08-01,111.06
3,2024-09-01,115.26
3,2024-11-01,116.83
