transaction_id,investor_id,fund_id,txn_date,txn_type,amount
1328,69,17,2021-04-07,subscription,250000
144,8,17,2021-04-22,subscription,25000
1249,65,20,2021-05-24,subscription,10000
2896,157,22,2021-05-30,subscription,100000
164,8,10,2021-06-25,subscription,50000
1333,69,17,2021-07-07,fee,2500
2897,157,22,2021-07-08,capital_call,25000
2967,160,10,2021-07-09,subscription,100000
2239,116,22,2021-07-20,subscription,50000
582,29,22,2021-07-24,subscription,100000
1250,65,20,2021-07-29,capital_call,5000
1329,69,17,2021-08-04,capital_call,62500
3093,166,9,2021-08-09,subscription,10000
1103,54,22,2021-08-10,subscription,25000
2898,157,22,2021-08-19,capital_call,25000
145,8,17,2021-08-28,capital_call,6250
583,29,22,2021-09-05,capital_call,33333
1251,65,20,2021-09-11,capital_call,5000
3167,171,10,2021-09-13,subscription,100000
1330,69,17,2021-09-16,capital_call,62500
866,43,1,2021-09-20,subscription,250000
157,8,1,2021-09-22,subscription,100000
165,8,10,2021-09-22,capital_call,10000
136,7,17,2021-09-30,subscription,100000
2137,111,17,2021-10-07,subscription,10000
3028,162,1,2021-10-08,subscription,250000
1094,54,9,2021-10-12,subscription,10000
1104,54,22,2021-10-17,capital_call,5000
2901,157,22,2021-10-17,fee,1000
3094,166,9,2021-10-18,capital_call,2500
1305,69,1,2021-10-19,subscription,100000
1331,69,17,2021-10-21,capital_call,62500
3170,171,10,2021-10-25,fee,1000
3168,171,10,2021-10-28,capital_call,50000
858,43,17,2021-10-29,subscription,100000
1765,92,15,2021-11-02,subscription,100000
2142,111,10,2021-11-04,subscription,250000
2968,160,10,2021-11-10,capital_call,20000
1755,92,9,2021-11-12,subscription,250000
3029,162,1,2021-11-13,capital_call,50000
2240,116,22,2021-11-18,capital_call,10000
1105,54,22,2021-11-26,capital_call,5000
2757,146,1,2021-11-26,subscription,50000
146,8,17,2021-11-28,capital_call,6250
1306,69,1,2021-11-28,capital_call,33333
2899,157,22,2021-11-28,capital_call,25000
590,29,1,2021-11-29,subscription,25000
3278,177,1,2021-12-05,subscription,10000
867,43,1,2021-12-09,capital_call,62500
2138,111,17,2021-12-11,capital_call,3333
158,8,1,2021-12-13,capital_call,50000
3288,178,22,2021-12-13,subscription,50000
586,29,22,2021-12-14,fee,1000
2333,119,9,2021-12-20,subscription,250000
2143,111,10,2021-12-27,capital_call,50000
3314,180,15,2022-01-01,subscription,10000
2749,146,9,2022-01-02,subscription,10000
2900,157,22,2022-01-04,capital_call,25000
3095,166,9,2022-01-07,capital_call,2500
1698,90,20,2022-01-09,subscription,100000
1766,92,15,2022-01-09,capital_call,20000
3058,165,9,2022-01-13,subscription,250000
137,7,17,2022-01-14,capital_call,33333
1760,92,9,2022-01-16,fee,2500
2758,146,1,2022-01-20,capital_call,10000
147,8,17,2022-01-21,capital_call,6250
3030,162,1,2022-01-24,capital_call,50000
1011,49,8,2022-01-25,subscription,100000
166,8,10,2022-01-28,capital_call,10000
584,29,22,2022-01-30,capital_call,33333
1721,91,9,2022-02-01,subscription,100000
1704,90,20,2022-02-02,fee,1000
3296,178,1,2022-02-02,subscription,50000
3169,171,10,2022-02-05,capital_call,50000
3279,177,1,2022-02-06,capital_call,3333
115,6,20,2022-02-07,subscription,250000
2436,125,1,2022-02-07,subscription,50000
1767,92,15,2022-02-09,capital_call,20000
1743,91,14,2022-02-11,subscription,100000
595,29,14,2022-02-12,subscription,100000
170,8,10,2022-02-14,fee,500
1106,54,22,2022-02-14,capital_call,5000
1095,54,9,2022-02-15,capital_call,3333
859,43,17,2022-02-16,capital_call,25000
1307,69,1,2022-02-24,capital_call,33333
2744,145,10,2022-02-24,subscription,50000
3031,162,1,2022-02-24,capital_call,50000
159,8,1,2022-02-27,capital_call,50000
2514,130,22,2022-03-01,subscription,250000
3549,192,14,2022-03-01,subscription,50000
1699,90,20,2022-03-05,capital_call,20000
202,10,8,2022-03-06,subscription,250000
1451,75,23,2022-03-12,subscription,50000
3315,180,15,2022-03-12,capital_call,2000
585,29,22,2022-03-13,capital_call,33333
1332,69,17,2022-03-14,capital_call,62500
